state,population,id
Alabama,4887681,01
Alaska,735139,02
Arizona,7158024,04
Arkansas,3009733,05
California,39461588,06
Colorado,5691287,08
Connecticut,3571520,09
Delaware,965479,10
Florida,21244317,12
Georgia,10511131,13
Hawaii,1420593,15
Idaho,1750536,16
Illinois,12723071,17
Indiana,6695497,18
Iowa,3148618,19
Kansas,2911359,20
Kentucky,4461153,21
Louisiana,4659690,22
Maine,1339057,23
Maryland,6035802,24
Massachusetts,6882635,25
Michigan,9984072,26
Minnesota,5606249,27
Mississippi,2981020,28
Missouri,6121623,29
Montana,1060665,30
Nebraska,1925614,31
Nevada,3027341,32
New Hampshire,1353465,33
New Jersey,8886025,34
New Mexico,2092741,35
New York,19530351,36
North Carolina,10381615,37
North Dakota,758080,38
Ohio,11676341,39
Oklahoma,3940235,40
Oregon,4181886,41
Pennsylvania,12800922,42
Rhode Island,1058287,44
South Carolina,5084156,45
South Dakota,878698,46
Tennessee,6771631,47
Texas,28628666,48
Utah,3153550,49
Vermont,624358,50
Virginia,8501286,51
Washington,7523869,53
West Virginia,1804291,54
Wisconsin,5807406,55

Wyoming,577601,56
